datum,hodina,proces,celkem,pozde
2026-08-13,2,1. Pick,13883,32
2026-08-13,2,2. Pack,13703,33
2026-08-13,2,3. Sort,28224,3268
2026-08-13,2,4. EXP (ČS),22489,203
2026-08-13,2,5. EXP (DLT),22489,200
2026-08-13,2,6. BJ (LT),921,7
2026-08-13,2,7. BJ (ČS),1552,38
2026-08-13,3,1. Pick,14886,6
2026-08-13,3,2. Pack,15085,10
2026-08-13,3,3. Sort,13743,79
2026-08-13,3,4. EXP (ČS),28224,305
2026-08-13,3,5. EXP (DLT),28224,272
2026-08-13,3,6. BJ (LT),876,35
2026-08-13,3,7. BJ (ČS),921,10
2026-08-13,4,1. Pick,24,0
2026-08-13,4,3. Sort,14886,42
2026-08-13,4,4. EXP (ČS),13827,79
2026-08-13,4,5. EXP (DLT),13744,79
2026-08-13,4,6. BJ (LT),524,8
2026-08-13,4,7. BJ (ČS),880,28
2026-08-13,5,1. Pick,546,3
2026-08-13,5,2. Pack,570,3
2026-08-13,5,3. Sort,73,1
2026-08-13,5,4. EXP (ČS),14802,37
2026-08-13,5,5. EXP (DLT),14885,37
2026-08-13,5,6. BJ (LT),10,1
2026-08-13,5,7. BJ (ČS),520,6
2026-08-13,6,1. Pick,20,2
2026-08-13,6,2. Pack,20,1
2026-08-13,6,3. Sort,562,23
2026-08-13,6,4. EXP (ČS),196,23
2026-08-13,6,5. EXP (DLT),196,23
2026-08-13,6,6. BJ (LT),147,6
2026-08-13,6,7. BJ (ČS),104,7
2026-08-13,7,1. Pick,118,0
2026-08-13,7,2. Pack,116,0
2026-08-13,7,3. Sort,287,2
2026-08-13,7,4. EXP (ČS),563,1
2026-08-13,7,5. EXP (DLT),563,1
2026-08-13,7,6. BJ (LT),25,17
2026-08-13,7,7. BJ (ČS),73,25
2026-08-13,8,1. Pick,1490,39
2026-08-13,8,2. Pack,369,0
2026-08-13,8,3. Sort,38,1
2026-08-13,8,4. EXP (ČS),190,0
2026-08-13,8,5. EXP (DLT),19,0
2026-08-13,8,7. BJ (ČS),1,0
2026-08-13,9,1. Pick,1100,1
2026-08-13,9,2. Pack,1155,0
2026-08-13,9,3. Sort,1485,5
2026-08-13,9,4. EXP (ČS),60,0
2026-08-13,9,5. EXP (DLT),80,0
2026-08-13,9,6. BJ (LT),409,32
2026-08-13,9,7. BJ (ČS),28,24
2026-08-13,10,1. Pick,1388,39
2026-08-13,10,2. Pack,1446,10
2026-08-13,10,3. Sort,60,2
2026-08-13,10,4. EXP (ČS),1491,8
2026-08-13,10,5. EXP (DLT),1491,5
2026-08-13,10,6. BJ (LT),11,0
2026-08-13,10,7. BJ (ČS),381,9
2026-08-13,11,1. Pick,1374,0
2026-08-13,11,2. Pack,1113,3
2026-08-13,11,3. Sort,1494,21
2026-08-13,11,4. EXP (ČS),97,4
2026-08-13,11,5. EXP (DLT),97,4
2026-08-13,11,6. BJ (LT),266,14
2026-08-13,11,7. BJ (ČS),11,0
2026-08-13,12,1. Pick,2282,71
2026-08-13,12,2. Pack,1539,43
2026-08-13,12,3. Sort,2318,14
2026-08-13,12,4. EXP (ČS),1457,6
2026-08-13,12,5. EXP (DLT),574,1
2026-08-13,12,6. BJ (LT),285,0
2026-08-13,12,7. BJ (ČS),266,11
2026-08-13,13,1. Pick,475,0
2026-08-13,13,2. Pack,726,0
2026-08-13,13,3. Sort,898,10
2026-08-13,13,4. EXP (ČS),2382,6
2026-08-13,13,5. EXP (DLT),1086,5
2026-08-13,13,6. BJ (LT),108,9
2026-08-13,13,7. BJ (ČS),269,7
2026-08-13,14,1. Pick,6146,34
2026-08-13,14,2. Pack,1410,7
2026-08-13,14,3. Sort,106,1
2026-08-13,14,4. EXP (ČS),943,3
2026-08-13,14,5. EXP (DLT),3904,4
2026-08-13,14,7. BJ (ČS),101,2
2026-08-13,15,1. Pick,388,12
2026-08-13,15,2. Pack,6558,16
2026-08-13,15,3. Sort,6132,70
2026-08-13,15,4. EXP (ČS),60,0
2026-08-13,15,5. EXP (DLT),427,0
2026-08-13,15,6. BJ (LT),587,48
